GeoRefNo,ClassPr_S,ClassSc_S,MA_Zip1,PA-Strt,LndAc_S,ImpAc_S,OthAc_S,TtlVal_AsrYr,Neighborhood,LotArea,ParType,BldgNo_S,DwlgNo_S,YrBuilt,Foundation,RoofMatl,Ext1,Ext2,MasVnrType,Heating,Central Air,GLA,TtlBsmtSF,TotRmsAbvGrd,NmbrBRs,Fireplaces,PoolArea,GarageType,GarYrBlt,Cars,GarageArea,YrSold_YYYY,MoSold_MM,SalePrice,SaleType,SaleCond
527102100,RESIDENTIAL,1-STORY TWNHM - 1946 & NEWER,50010,EISENHOWER,55900,0,167700,223600,Gilbert,2812,Dwg&Lot,0,1,1997,P'Conc,CompShg,VinylSd,VinylSd,BrkFace,GasFWA,Yes,1322,1314,5,2,0,0,Attachd,1997,2,400,2018,4,245000,WRDConv,Normal
527102100,RESIDENTIAL,1-STORY TWNHM - 1946 & NEWER,50010,EISENHOWER,55900,0,167700,223600,Gilbert,2812,Dwg&Lot,0,1,1997,P'Conc,CompShg,VinylSd,VinylSd,BrkFace,GasFWA,Yes,1322,1314,5,2,0,0,Attachd,1997,2,400,2016,1,245000,COD/Est,Normal
527102110,RESIDENTIAL,1-STORY TWNHM - 1946 & NEWER,50010,EISENHOWER,55100,0,165200,220300,Gilbert,2812,Dwg&Lot,0,1,1997,P'Conc,CompShg,VinylSd,VinylSd,BrkFace,GasFWA,Yes,1322,1314,5,2,0,0,Attachd,1997,2,410,2017,8,236500,WRDConv,Normal
527102170,RESIDENTIAL,1-STORY TWNHM - 1946 & NEWER,50010,EISENHOWER,55600,0,167000,222600,Gilbert,2812,Dwg&Lot,0,1,1996,P'Conc,CompShg,VinylSd,VinylSd,BrkFace,GasFWA,Yes,1304,1296,5,2,0,0,Attachd,1996,2,400,2018,5,225000,WRDConv,Normal
527102170,RESIDENTIAL,1-STORY TWNHM - 1946 & NEWER,50010,EISENHOWER,55600,0,167000,222600,Gilbert,2812,Dwg&Lot,0,1,1996,P'Conc,CompShg,VinylSd,VinylSd,BrkFace,GasFWA,Yes,1304,1296,5,2,0,0,Attachd,1996,2,400,2017,7,209000,WRDConv,Normal
527104050,RESIDENTIAL,CONDO,50010,EISENHOWER,23800,0,95900,119700,Blmngtn,4693,Dwg&Lot,0,1,1996,Slab,CompShg,VinylSd,VinylSd,BrkFace,GasFWA,Yes,1214,0,5,2,0,0,BuiltIn,1996,1,224,2017,6,149250,WRDConv,Normal
527104070,RESIDENTIAL,CONDO,50010,EISENHOWER,23800,0,107500,131300,Blmngtn,4693,Dwg&Lot,0,1,1996,Slab,CompShg,VinylSd,VinylSd,BrkFace,GasFWA,Yes,1258,0,5,2,0,0,BuiltIn,1996,2,419,2016,7,145000,WRDConv,Normal
527104080,RESIDENTIAL,CONDO,50010,EISENHOWER,23800,0,110700,134500,Blmngtn,4693,Dwg&Lot,0,1,1997,Slab,CompShg,VinylSd,VinylSd,BrkFace,GasFWA,Yes,1258,0,5,2,1,0,Attachd,1997,2,419,2018,5,168500,WRDConv,Normal
527104110,RESIDENTIAL,CONDO,50010,EISENHOWER,23800,0,107900,131700,Blmngtn,4693,Dwg&Lot,0,1,1997,Slab,CompShg,VinylSd,VinylSd,BrkFace,GasFWA,Yes,1258,0,5,2,0,0,Attachd,1997,2,419,2017,8,161000,WRDConv,Normal
527104130,RESIDENTIAL,CONDO,50010,EISENHOWER,23800,0,96600,120400,Blmngtn,4693,Dwg&Lot,0,1,1997,Slab,CompShg,VinylSd,VinylSd,BrkFace,GasFWA,Yes,1214,0,5,2,0,0,Attachd,1997,1,224,2017,9,153500,WRDConv,Normal
522105120,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50010,LEDGES,87500,0,262600,350100,HaydnLk,10172,Dwg&Lot,0,1,2018,P'Conc,CompShg,VinylSd,VinylSd,Stone,GasFWA,Yes,1421,1421,5,2,1,0,Attachd,2018,3,644,2019,1,325350,WRDConv,Normal
522105120,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50010,LEDGES,87500,0,262600,350100,HaydnLk,10172,Dwg&Lot,0,1,2018,P'Conc,CompShg,VinylSd,VinylSd,Stone,GasFWA,Yes,1421,1421,5,2,1,0,Attachd,2018,3,644,2018,6,65000,WRDConv,Normal
522105200,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50010,ADA HAYDEN,100500,0,301400,401900,HaydnLk,13158,Dwg&Lot,0,1,2017,P'Conc,CompShg,VinylSd,VinylSd,Stone,GasFWA,Yes,1867,1867,7,3,1,0,Attachd,2017,3,713,2018,3,431981,NewSold,Partial
522105200,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50010,ADA HAYDEN,100500,0,301400,401900,HaydnLk,13158,Dwg&Lot,0,1,2017,P'Conc,CompShg,VinylSd,VinylSd,Stone,GasFWA,Yes,1867,1867,7,3,1,0,Attachd,2017,3,713,2018,1,90000,WRDConv,Normal
522110010,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50010,LEDGES,95300,0,285900,381200,HaydnLk,12474,Dwg&Lot,0,1,2016,C'Block,CompShg,VinylSd,VinylSd,Stone,GasFWA,Yes,1812,1812,7,3,1,0,Attachd,2016,3,678,2016,5,88000,WRDConv,Normal
522110070,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50010,LEDGES,94500,0,283300,377800,HaydnLk,10200,Dwg&Lot,0,1,2018,P'Conc,CompShg,VinylSd,VinylSd,Stone,GasFWA,Yes,1650,1650,7,2,1,0,Attachd,2018,3,700,2018,6,370365,NewSold,Partial
522110070,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50010,LEDGES,94500,0,283300,377800,HaydnLk,10200,Dwg&Lot,0,1,2018,P'Conc,CompShg,VinylSd,VinylSd,Stone,GasFWA,Yes,1650,1650,7,2,1,0,Attachd,2018,3,700,2018,1,80000,WRDConv,Normal
522110080,RESIDENTIAL,2-STORY 1946 & NEWER,50010,LEDGES,100800,0,302400,403200,HaydnLk,10200,Dwg&Lot,0,1,2018,P'Conc,CompShg,VinylSd,VinylSd,Stone,GasFWA,Yes,2194,1142,10,4,1,0,Attachd,2018,3,696,2018,12,383478,NewSold,Partial
522110080,RESIDENTIAL,2-STORY 1946 & NEWER,50010,LEDGES,100800,0,302400,403200,HaydnLk,10200,Dwg&Lot,0,1,2018,P'Conc,CompShg,VinylSd,VinylSd,Stone,GasFWA,Yes,2194,1142,10,4,1,0,Attachd,2018,3,696,2018,4,80000,WRDConv,Normal
527106030,RESIDENTIAL,2-STORY 1946 & NEWER,50010,EISENHOWER,55000,0,165100,220100,Gilbert,7959,Dwg&Lot,0,1,1997,P'Conc,CompShg,VinylSd,VinylSd,None,GasFWA,Yes,1632,932,6,3,1,0,Attachd,1997,2,460,2018,1,222000,WRDConv,Normal
527106050,RESIDENTIAL,2-STORY 1946 & NEWER,50010,EISENHOWER,50900,0,152500,203400,Gilbert,8139,Dwg&Lot,0,1,1995,P'Conc,CompShg,VinylSd,VinylSd,BrkFace,GasFWA,Yes,1470,680,7,3,1,0,BuiltIn,1995,2,420,2016,2,192000,WRDConv,Normal
527106060,RESIDENTIAL,2-STORY 1946 & NEWER,50010,EISENHOWER,54900,0,164800,219700,Gilbert,8992,Dwg&Lot,0,1,1995,P'Conc,CompShg,HdBoard,HdBoard,None,GasFWA,Yes,1636,916,7,3,1,0,2 Types,1995,2,888,2016,7,206000,WRDConv,Normal
527106070,RESIDENTIAL,1-1/2 STORY FINISHED ALL AGES,50010,EISENHOWER,58000,0,173800,231800,Gilbert,10594,Dwg&Lot,0,1,1995,P'Conc,CompShg,HdBoard,HdBoard,BrkFace,GasFWA,Yes,1508,910,7,4,1,0,Attachd,1995,2,390,2016,10,224000,WRDConv,Normal
527108040,RESIDENTIAL,2-STORY 1946 & NEWER,50010,HARRISON,79200,0,237500,316700,Gilbert,10463,Dwg&Lot,0,1,2005,P'Conc,CompShg,VinylSd,VinylSd,None,GasFWA,Yes,1801,893,8,3,1,0,Attachd,2005,3,796,2016,8,316000,WRDConv,Normal
527108050,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50010,HARRISON,82100,0,246300,328400,Gilbert,15553,Dwg&Lot,0,1,2005,P'Conc,CompShg,VinylSd,VinylSd,Stone,GasFWA,Yes,1664,1664,7,3,1,0,Attachd,2005,3,687,2017,1,298000,WRDConv,Normal
527108050,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50010,HARRISON,82100,0,246300,328400,Gilbert,15553,Dwg&Lot,0,1,2005,P'Conc,CompShg,VinylSd,VinylSd,Stone,GasFWA,Yes,1664,1664,7,3,1,0,Attachd,2005,3,687,2016,11,278800,WRDConv,Normal
527110090,RESIDENTIAL,2-STORY 1946 & NEWER,50010,WYNGATE,54400,0,163200,217600,Gilbert,10068,Dwg&Lot,0,1,1997,P'Conc,CompShg,HdBoard,HdBoard,None,GasFWA,Yes,1645,806,7,3,1,0,BuiltIn,1997,2,373,2016,10,239000,WRDConv,Normal
527110100,RESIDENTIAL,SPLIT OR MULTI-LEVEL,50010,WYNGATE,52800,0,158400,211200,Gilbert,9265,Dwg&Lot,0,1,1997,P'Conc,CompShg,VinylSd,VinylSd,None,GasFWA,Yes,1466,432,7,3,1,0,BuiltIn,1997,2,390,2016,7,220000,WRDConv,Normal
527126010,RESIDENTIAL,1-STORY TWNHM - 1946 & NEWER,50010,STONE BROOKE,82400,0,247000,329400,Stonebr,5330,Dwg&Lot,0,1,2000,P'Conc,CompShg,CemntBd,CmentBd,None,GasFWA,Yes,1850,1823,5,1,1,0,Attachd,2000,2,567,2018,10,375000,WRDConv,Normal
527126020,RESIDENTIAL,1-STORY TWNHM - 1946 & NEWER,50010,STONE BROOKE,75600,0,226900,302500,Stonebr,5330,Dwg&Lot,0,1,2000,P'Conc,CompShg,CemntBd,CmentBd,None,GasFWA,Yes,1652,1494,5,1,1,0,Attachd,2000,2,499,2018,11,349900,WRDConv,Normal
527127080,RESIDENTIAL,1-STORY TWNHM - 1946 & NEWER,50010,WATERBURY,120100,0,360300,480400,Stonebr,9658,Dwg&Lot,0,1,2002,P'Conc,CompShg,CemntBd,CmentBd,No Data,GasFWA,Yes,2645,2509,6,1,2,0,Attachd,2002,2,690,2017,5,450000,WRDConv,Normal
527127110,RESIDENTIAL,1-STORY TWNHM - 1946 & NEWER,50010,WATERBURY,105300,0,315900,421200,Stonebr,7296,Dwg&Lot,0,1,2000,P'Conc,CompShg,CemntBd,CmentBd,None,GasFWA,Yes,2612,2612,8,1,2,0,Attachd,2000,2,714,2017,5,400000,WRDConv,Family
522125040,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50010,ADA HAYDEN,121800,0,365500,487300,HaydnLk,10727,Dwg&Lot,0,1,2016,P'Conc,CompShg,VinylSd,VinylSd,Stone,GasFWA,Yes,2030,2015,7,3,1,0,Attachd,2016,3,807,2017,4,525000,NewSold,Partial
522125040,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50010,ADA HAYDEN,121800,0,365500,487300,HaydnLk,10727,Dwg&Lot,0,1,2016,P'Conc,CompShg,VinylSd,VinylSd,Stone,GasFWA,Yes,2030,2015,7,3,1,0,Attachd,2016,3,807,2016,3,90872,WRDConv,Alloca
522125050,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50010,ADA HAYDEN,123400,0,240600,364000,HaydnLk,10727,Dwg&Lot,0,1,2018,P'Conc,CompShg,HdBoard,HdBoard,Stone,GasFWA,Yes,2000,1975,7,3,1,0,Attachd,2018,3,1036,2016,3,90873,WRDConv,Alloca
522125080,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50010,ADA HAYDEN,109400,0,328000,437400,HaydnLk,10727,Dwg&Lot,0,1,2016,C'Block,CompShg,VinylSd,VinylSd,No Data,GasFWA,Yes,2006,2006,7,3,1,0,Attachd,2016,3,834,2017,1,515000,WRDConv,Normal
522125090,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50010,ADA HAYDEN,112400,0,337400,449800,HaydnLk,10727,Dwg&Lot,0,1,2016,C'Block,CompShg,VinylSd,VinylSd,Stone,GasFWA,Yes,1967,1967,6,2,1,0,Attachd,2016,3,798,2016,1,95000,WRDConv,Normal
522125100,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50010,ADA HAYDEN,108600,0,325600,434200,HaydnLk,10727,Dwg&Lot,0,1,2016,C'Block,CompShg,VinylSd,VinylSd,Stone,GasFWA,Yes,1803,1803,6,2,1,0,Attachd,2016,3,831,2017,5,499500,WRDConv,Normal
522125110,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50010,ADA HAYDEN,123400,0,370200,493600,HaydnLk,10727,Dwg&Lot,0,1,2017,P'Conc,CompShg,VinylSd,VinylSd,Stone,GasFWA,Yes,2184,2184,9,4,0,0,Attachd,2017,3,807,2018,3,559000,NewSold,Partial
522125110,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50010,ADA HAYDEN,123400,0,370200,493600,HaydnLk,10727,Dwg&Lot,0,1,2017,P'Conc,CompShg,VinylSd,VinylSd,Stone,GasFWA,Yes,2184,2184,9,4,0,0,Attachd,2017,3,807,2016,3,90873,WRDConv,Alloca
522135010,RESIDENTIAL,1-1/2 STORY FINISHED ALL AGES,50010,ADA HAYDEN,137000,0,411000,548000,HaydnLk,16324,Dwg&Lot,0,1,2016,C'Block,CompShg,VinylSd,VinylSd,No Data,GasFWA,Yes,2630,2154,9,4,1,0,Attachd,2016,3,1017,2016,1,200000,WRDConv,Normal
522135020,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50010,ADA HAYDEN,151500,0,454500,606000,HaydnLk,15042,Dwg&Lot,0,1,2016,C'Block,CompShg,HdBoard,HdBoard,No Data,GasFWA,Yes,2494,2494,6,2,1,0,Attachd,2016,3,1028,2016,1,185000,WRDConv,Normal
522135030,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50010,ADA HAYDEN,193300,0,580000,773300,HaydnLk,25037,Dwg&Lot,0,1,2016,P'Conc,CompShg,CemntBd,CmentBd,Stone,GasFWA,Yes,2964,2964,7,4,3,0,Attachd,2016,3,1026,2016,1,200000,WRDConv,Normal
522135080,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50014,ADA HAYDEN,155600,0,275400,431000,HaydnLk,20761,Dwg&Lot,0,1,2018,P'Conc,CompShg,VinylSd,VinylSd,Stone,GasFWA,Yes,2332,2332,6,3,2,0,Attachd,2018,3,1042,2018,2,200000,WRDConv,Normal
522135100,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50010,ADA HAYDEN,135700,0,407000,542700,HaydnLk,16699,Dwg&Lot,0,1,2018,P'Conc,CompShg,CemntBd,VinylSd,Stone,GasFWA,Yes,1934,1934,6,3,1,0,Attachd,2018,3,673,2018,10,623063,NewSold,Partial
522135100,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50010,ADA HAYDEN,135700,0,407000,542700,HaydnLk,16699,Dwg&Lot,0,1,2018,P'Conc,CompShg,CemntBd,VinylSd,Stone,GasFWA,Yes,1934,1934,6,3,1,0,Attachd,2018,3,673,2018,3,160000,WRDConv,Normal
522135110,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50010,ADA HAYDEN,114200,0,342700,456900,HaydnLk,15229,Dwg&Lot,0,1,2017,P'Conc,CompShg,VinylSd,VinylSd,Stone,GasFWA,Yes,1525,1525,7,2,1,0,Attachd,2017,3,979,2017,10,160000,WRDConv,Normal
522135120,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50010,ADA HAYDEN,149800,0,71900,221700,HaydnLk,15005,Dwg&Lot,0,1,2018,P'Conc,CompShg,VinylSd,VinylSd,Stone,GasFWA,Yes,2442,2424,7,2,2,0,Attachd,2018,3,1080,2018,8,900,WRDConv,Normal
522150010,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50010,AUDUBON,94200,0,282500,376700,HaydnLk,8108,Dwg&Lot,0,1,2016,P'Conc,CompShg,VinylSd,VinylSd,Stone,GasFWA,Yes,1729,1729,7,2,1,0,Attachd,2016,2,778,2018,4,443500,WRDConv,Normal
522150050,RESIDENTIAL,2-STORY 1946 & NEWER,50010,AUDUBON,111100,0,333500,444600,HaydnLk,10027,Dwg&Lot,0,1,2017,P'Conc,CompShg,HdBoard,HdBoard,No Data,GasFWA,Yes,1879,1571,5,1,1,0,Attachd,2017,2,598,2019,2,311300,WRDConv,Abnorml
522150060,RESIDENTIAL,2-STORY 1946 & NEWER,50010,AUDUBON,107100,0,321200,428300,HaydnLk,13415,Dwg&Lot,0,1,2016,P'Conc,CompShg,CemntBd,CmentBd,None,GasFWA,Yes,2461,1321,8,3,1,0,Attachd,2016,3,936,2017,5,468371,NewSold,Partial
522160010,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50010,AUDUBON,94700,0,284000,378700,HaydnLk,8374,Dwg&Lot,0,1,2018,P'Conc,CompShg,VinylSd,VinylSd,None,GasFWA,Yes,1635,1635,5,2,1,0,Attachd,2018,3,835,2018,7,459992,NewSold,Partial
522160020,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50010,AUDUBON,88900,0,266700,355600,HaydnLk,8413,Dwg&Lot,0,1,2017,P'Conc,CompShg,VinylSd,VinylSd,None,GasFWA,Yes,1591,1591,7,2,1,0,Attachd,2017,3,800,2017,7,350669,NewSold,Partial
522160040,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50010,AUDUBON,122800,0,368400,491200,HaydnLk,9144,Dwg&Lot,0,1,2017,P'Conc,CompShg,VinylSd,VinylSd,Stone,GasFWA,Yes,2011,2002,7,2,1,0,Attachd,2017,2,703,2017,11,531534,NewSold,Partial
522160050,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50010,AUDUBON,139400,0,418200,557600,HaydnLk,10424,Dwg&Lot,0,1,2016,P'Conc,CompShg,VinylSd,VinylSd,Stone,GasFWA,Yes,2314,2314,8,3,1,0,Attachd,2016,3,886,2017,4,603603,NewSold,Partial
522160060,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50010,AUDUBON,131400,0,394100,525500,HaydnLk,9557,Dwg&Lot,0,1,2017,C'Block,CompShg,CemntBd,CmentBd,Stone,GasFWA,Yes,2166,2076,7,2,1,0,Attachd,2017,2,699,2017,8,598821,NewSold,Partial
522160070,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50010,AUDUBON,146700,0,440100,586800,HaydnLk,9561,Dwg&Lot,0,1,2017,P'Conc,CompShg,VinylSd,VinylSd,Stone,GasFWA,Yes,2356,2356,10,2,3,0,Attachd,2017,3,799,2017,2,125000,WRDConv,Normal
522160110,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50010,LEOPOLD,136100,0,408300,544400,HaydnLk,15134,Dwg&Lot,0,1,2018,P'Conc,CompShg,VinylSd,VinylSd,Stone,GasFWA,Yes,2103,2103,5,2,1,0,Attachd,2018,2,820,2018,2,7600,WRDConv,Normal
522160110,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50010,LEOPOLD,136100,0,408300,544400,HaydnLk,15134,Dwg&Lot,0,1,2018,P'Conc,CompShg,VinylSd,VinylSd,Stone,GasFWA,Yes,2103,2103,5,2,1,0,Attachd,2018,2,820,2017,4,6605,WRDConv,Abnorml
522160120,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50010,LEOPOLD,414700,0,138200,552900,HaydnLk,11702,Dwg&Lot,0,1,2018,P'Conc,CompShg,CemntBd,CmentBd,Stone,GasFWA,Yes,2417,2417,6,2,1,0,Attachd,2018,2,711,2018,12,827581,NewSold,Partial
