GeoRefNo,ClassPr_S,ClassSc_S,MA_Zip1,PA-Strt,LndAc_S,ImpAc_S,OthAc_S,TtlVal_AsrYr,Neighborhood,LotArea,ParType,BldgNo_S,DwlgNo_S,YrBuilt,Foundation,RoofMatl,Ext1,Ext2,MasVnrType,Heating,Central Air,GLA,TtlBsmtSF,TotRmsAbvGrd,NmbrBRs,Fireplaces,PoolArea,GarageType,GarYrBlt,Cars,GarageArea,YrSold_YYYY,MoSold_MM,Neighborhood_RecentSoldPrice
522205170,RESIDENTIAL,SPLIT OR MULTI-LEVEL,50010.0,QUARRY,153200,0,459600,612800,HaydnLk,14033.0,Dwg&Lot,0,1,2018.0,P'Conc,CompShg,CemntBd,CmentBd,None,GasFWA,Yes,2892.0,1864.0,10.0,4.0,1.0,0.0,Attachd,2018.0,3.0,1298.0,2016.0,3.0,612800
526300100,RESIDENTIAL,1-STORY 1945 & OLDER,50010.0,GRAND,51100,0,153200,204300,N Ames,24742.0,Dwg&Lot,0,1,1930.0,Brk/Til,CompShg,VinylSd,VinylSd,None,GasFWA,Yes,1754.0,816.0,7.0,3.0,1.0,0.0,Detachd,1930.0,2.0,576.0,None,None,204300
526300120,RESIDENTIAL,SPLIT OR MULTI-LEVEL,50010.0,GRAND,152300,0,237700,390000,N Ames,240000.0,Dwg&Lot,0,1,1997.0,P'Conc,CompShg,VinylSd,VinylSd,None,GasFWA,Yes,2504.0,942.0,8.0,3.0,1.0,0.0,BuiltIn,1997.0,2.0,633.0,None,None,390000
526303030,RESIDENTIAL,SPLIT OR MULTI-LEVEL,50010.0,NORTHWOOD,124300,0,372900,497200,N Ames,64607.0,Dwg&Lot,0,1,1956.0,C'Block,CompShg,Wd Sdng,Wd Sdng,BrkFace,GasFWA,Yes,2739.0,2559.0,9.0,3.0,3.0,0.0,Attachd,2000.0,3.0,982.0,None,None,497200
526303040,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50010.0,NORTHWOOD,63300,0,189800,253100,N Ames,16012.0,Dwg&Lot,0,1,1956.0,C'Block,CompShg,Wd Sdng,HdBoard,BrkFace,GasFWA,Yes,1837.0,1505.0,7.0,3.0,1.0,0.0,Attachd,1956.0,2.0,460.0,2016.0,4.0,253100
526303050,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50010.0,RIVER OAK,75300,0,226100,301400,N Ames,40915.0,Dwg&Lot,0,1,1958.0,P'Conc,CompShg,Wd Sdng,Wd Sdng,Stone,GasFWA,Yes,1645.0,1436.0,6.0,2.0,2.0,0.0,Attachd,1993.0,2.0,576.0,None,None,301400
526303060,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50010.0,RIVER OAK,103900,0,311500,415400,N Ames,39384.0,Dwg&Lot,0,1,1957.0,C'Block,CompShg,CemntBd,CmentBd,BrkFace,Geothrm,Yes,1930.0,1891.0,4.0,1.0,2.0,0.0,Attachd,1957.0,2.0,679.0,None,None,415400
526303070,RESIDENTIAL,2-STORY 1946 & NEWER,50010.0,RIVER OAK,108600,0,325900,434500,N Ames,40551.0,Dwg&Lot,0,1,1959.0,C'Block,CompShg,CemntBd,CmentBd,Stone,Geothrm,Yes,2950.0,1824.0,10.0,4.0,0.0,0.0,Attachd,1959.0,2.0,507.0,None,None,434500
526303080,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50010.0,RIVER OAK,108900,0,326700,435600,N Ames,142882.0,Dwg&Lot,0,1,1956.0,C'Block,CompShg,CemntBd,CmentBd,Stone,GasFWA,Yes,2182.0,1786.0,3.0,1.0,3.0,0.0,Attachd,1956.0,2.0,520.0,None,None,435600
526303090,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50010.0,RIVER OAK,78900,0,236600,315500,N Ames,13404.0,Dwg&Lot,0,1,1957.0,C'Block,CompShg,Wd Sdng,Wd Sdng,Stone,GasFWA,Yes,1332.0,1552.0,5.0,2.0,2.0,0.0,Attachd,1956.0,2.0,484.0,2017.0,6.0,315500
526303100,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50010.0,RIVER OAK,64400,0,193100,257500,N Ames,14576.0,Dwg&Lot,0,1,1957.0,C'Block,CompShg,CemntBd,CmentBd,BrkFace,GasFWA,Yes,1714.0,1529.0,6.0,2.0,1.0,0.0,Attachd,1957.0,2.0,480.0,None,None,257500
